Name,Description,Composer,Genre
Les Indes galantes,"PROLOGUE
The youth of four European nations abandon the pleasures of the palace of Hebe to follow Bellona, the goddess of war. Cupid descends and sends his minions away to the furthest corners of the Indies to seek and create followers of Love.

ENTRÉE I: The generous Turk
The young French girl Emile has been captured and sold as a slave to the Pasha Osman. He falls in love with her, but she cannot forget Valère, a French sailor. Valère's ship runs aground, and he is captured and brought before the Pasha. Osman recognizes him as the one who liberated him from slavery and then releases him and Emile.

ENTRÉE II: The Incas of Peru
In the Peruvian desert the Incas are preparing their Festival of the Sun in the shadow of a volcano. A Spanish officer, Don Carlos, and a Peruvian girl, Phani, have fallen in love, but the High Priest Huascar disapproves and causes the volcano to erupt, claiming it as a sign of the sun god's displeasure. Don Carlos, wise to the deception, escapes with Phani, leaving Huascar to bring the volcano down upon his own head.

ENTRÉE Ill: The Flowers, a Persian festival
Tacmas, a young Persian prince, and his confidant Ali have fallen in love with each other's slaves: Tacmas with Zaïre and Ali with Fatima. On the day of the flower festival all four meet, but withTacmas disguised as a woman and Fatima as a man there is much confusion. When it emerges that each of the slaves loves the other's master, a swap is engineered and the new couples enjoy the festival.

ENTRÉE IV: The Savages
In an American forest, Adario, the commander of a defeated tribe of Indians, is preparing to celebrate peace with the victorious Europeans. He is in love with Zima, the chief's daughter, who is also desired by the Spaniard, Don Alvar, and the Frenchman, Damon. However, claiming that the Spaniard is too jealous a lover and the Frenchman too indifferent a one, Zima chooses Adario. The festivities culminate in a dance of the pipe of peace.",Jean-Philippe Rameau,Baroque
Hippolyte et Aricie,"Diana, chaste goddess of the moon and the hunt, and Cupid, god of love, argue over who will dominate. Their quarrel is settled by Jupiter, who decrees that love will rule over all hearts for one day every year. Diana vows to protect the mortals Hippolytus (Hippolyte) and Aricia (Aricie).
Hippolytus is in love with a young woman, Aricia, the daughter of Pallas, the enemy of his father Theseus (Thésée), King of Athens. Pallas compels Aricia to take a vow of chastity to Diana. Before she does so, Hippolytus reveals his love for Aricia and Diana promises to protect the couple. This enrages Phaedra (Phèdre), Queen of Athens, who harbours an illicit love for Hippolytus, her stepson. News arrives that her husband Theseus is dead. Phaedra may now pursue her passion for Hippolyte and offer him the crown of Athens.
Neptune, father of Theseus, has promised to answer his son’s prayers three times during his life. Theseus’s first prayer is to reach Hades safely, where he hopes to rescue his friend Pirithous. Theseus fights with the Fury Tisiphone, but successfully reaches Pluto’s court. Pluto condemns Theseus to share the fate of his friend Pirithous, but allows him a trial. When Theseus loses, he prays a second time to Neptune, and Pluto is powerless to hold him. As Theseus is leaving, however, the Furies (Les Parques) predict that though he may leave Hades, he will find Hell in his own home.
Phaedra meets Hippolytus, who offers her his condolences on the death of Theseus. Mistaking his concern for love, Phaedra confesses her passion to him. Hippolytus is shocked and curses her. Phaedra tries to kill herself but Hippolytus prevents it. Theseus arrives unexpectedly. Unsure what to make of the scene, he accuses Hippolytus of trying to rape Phaedra. Phaedra rushes off and Hippolytus nobly refuses to denounce his stepmother. Theseus decides to use his last prayer to Neptune to punish Hippolytus.
Hippolytus and Aricia have escaped together to Diana’s realm. A monster suddenly emerges from the sea to punish Hippolytus. He tries to fight it and is defeated. Phaedra confesses her guilt for Hippolytus’s death.
Theseus learns the truth from Phaedra, who takes her own life. Theseus too threatens suicide but Neptune reveals that Hippolytus is still alive, thanks to Diana’s protection. But for unjustly blaming his son, Theseus is condemned never to see him again.
In Diana’s realm, the goddess reunites Hippolytus and Aricia.",Jean-Philippe Rameau,Baroque
Gianni Schicchi,"Buoso Donati has just died, surrounded by his relatives, who have heard that he has left all his money to the monks. They search for the will and Rinuccio, who finds it, refuses to hand it over till his Aunt Zita promises to let him marry Lauretta, daughter of Gianni Schicchi. He sends for Schicchi and when they have read the will and found their fears to be true, tells them that only Schicchi has the ingenuity to save them.
Although they resent Schicchi as an upstart, when he arrives with Lauretta they beg him to help them. Resenting their attitude, he only agrees when Lauretta appeals to him, since her happiness depends on it. Since no one outside the family knows that Buoso is dead, Schicchi disguises himself as Buoso, summons a lawyer and dictates a will. The relatives all have particular properties in mind and he leaves each one as requested, but reserves for himself the prize items of the house, a mule and the mill at Signa.
The furious relatives are powerless to stop him, as he reminds them that the penalty for falsifying a will is having the right hand chopped off and banishment from Florence.
He chases them away, except for Rinuccio, who remains with Lauretta. Schicchi addresses the audience, begging its indulgence for his sins since it has produced such a happy result.",Giacomo Puccini,Classical
La Bohème,"As they vainly try to keep warm, the poet Rodolfo and the painter Marcello are joined by the philosopher Colline in front of the stove. Another friend, the musician Schaunard, has had good luck and arrives with food and firewood, but suggests saving the food and eating out instead, since he has money and it is Christmas Eve.
The landlord Benoit demands the rent. They pay but ply him with drink and steal it back again, and when he admits to being unfaithful to his wife they pretend moral indignation and throw him out. They set off for the Cafe Momus, except for Rodolfo, who has an article to finish and will join them shortly. Mimi knocks at the door, in search of a light for her candle. She faints, and Rodolfo is struck by her beauty and pallor.
He relights her candle, but now she has lost her key. As both candles go out they search for the key by the moonlight. Rodolfo finds it and quietly pockets it. He offers to warm Mimi's cold hand. He tells her that he is a poet and she tells him of her life as a seamstress. As they prepare to join his friends they admit their strong mutual attraction.
Christmas revellers and hawkers mill around the cafe. Rodolfo buys Mimi a bonnet and they join the other bohemians at an outside table.
A shrill laugh announces the arrival of Musetta, Marcello's former lover, with an elderly admirer, Alcindoro. Marcello tries to ignore her, but she is determined to attract his attention, and her exhuberant behavior soon does the trick. She gets rid of the embarrassed Alcindoro by sending him to have her shoe fixed, and falls into Marcello's arms. She tells the waiter to add the Bohemian's bill to Alcindoro's and leaves with them.
Mimi arrives at the inn where Marcello and Musetta are living. Learning from Marcello that Rodolfo is there, she refuses to come inside out of the snow, explaining that Rodolfo's jealousy is spoiling their relationship. She agrees with him that it would be better for them to part.
She hides as Rodolfo comes outside, and listens as he confesses that she is dying and he cannot bear to watch helplessly. She is unable to suppress a cry and Rodolfo runs to her as Marcello, hearing Musetta's laugh, runs inside to see who she's flirting with. Mimi bids Rodolfo farewell, but then they decide to stay together for a while and part in the spring. Meanwhile Marcello and Musetta are fighting and she leaves after an exchange of insults.
Mimi and Rodolfo have separated. Rodolfo is attempting to write and Marcello to paint, but they are distracted by thoughts of their absent lovers. Schaunard and Colline arrive with meagre provisions and all sit down cheerfully to their spartan feast, enlivening the occasion with horseplay.
Musetta appears, explaining that Mimi is with her, but too ill to climb the stairs. She had found her wandering in the streets, wanting to return and die with Rodolfo. Mimi is carried in and made comfortable. She and Rodolfo are absorbed in one another, but the others are concerned by the lack of medicines and comforts. Musetta gives her earnings to pay for medicines and goes with Marcello to buy a muff for Mimi, to warm her hands. Colline prepares to pawn a much-loved old coat.
Left alone, Mimi and Rodolfo relive their meeting and past happiness. The others return with medicines and a muff. Mimi is delighted with the muff, but dies quietly shortly afterwards.
",Giacomo Puccini,Classical
Madama Butterfly,"Lieutenant Benjamin Franklin Pinkerton of the US Navy is preparing to go through a form of marriage with a Japanese girl, Cio-Cio-San (Madama Butterfly). He is being shown over their future house on a hill overlooking Nagasaki Harbor by the marriage broker Goro, who has provided the house as well as the bride. They are joined by the American consul, Sharpless, and Pinkerton explains that both wedding contract and house lease are for 99 years, terminable at any time at short notice.
Pinkerton finds this arrangment very convenient, as his philosophy is that while wandering the world as an American sailor he is free to take up with girls from any port, but he will eventually settle down and marry a proper, American wife.
Disturbed by this creed, Sharpless tries to warn Pinkerton against hurting Butterfly. He is even more shocked when she arrives, accompanied by friends and relations, and reveals that, her father being dead, poverty has forced her to become a geisha, and that she is only 15. Butterfly shows Pinkerton the few possessions she is bringing with her, but shrinks from explaining one of them. Goro whispers that it is the dagger her father killed himself with, at the emperor's order. She confesses that she has been to the mission, wishing to adopt her husband's religion.
The wedding is performed, but the celebrations are interrupted by the arrival of Butterfly's uncle, the Bonze (Buddhist priest), who denounces her for betraying the gods of her ancestors. Her family flees in horror. Butterfly is comforted by Pinkerton. Night falls and after an impassioned duet, they enter their new home. 
Three years later, Butterfly, with almost no money left, is waiting faithfully for Pinkerton's return in the company of her servant Suzuki. Sharpless arrives with a letter from Pinkerton asking him to break the news that he has married his American wife, and although his ship will soon be coming to Nagasaki, he does not intend to see Butterfly again.
Before Sharpless can begin she aks him when the robins nest in America. Her husband promised to return when the robins nested, but they have done so three times in Japan since he left, so she thinks that perhaps American robins have different habits.
At this Goro, eavesdropping, laughs and Butterfly complains that he is always hanging around, offering her new suitors. Even when one of these, the rich Prince Yamadori, arrives in person, she refuses to take him seriously. Goro explains to Sharpless that it would be better for her if she married again, but she still considers herself properly married to Pinkerton, according to American law. Sharpless tries to break the news about Pinkerton, but she keeps interrupting him with eager comments and questions and, beyond realising that Pinkerton is coming back to Japan, doesn't take in the sense of the letter. Sharpless gives up and asks her what she would do if Pinkerton were never to return and she answers that she would choose to die. He tries to persuade her to marry Yamadori. She becomes angry, then shows him the child she has born to Pinkerton. Sharpless leaves, promising to tell Pinkerton of the child's existence. Suzuki drags in Goro, who has been saying that no one knows who the baby's father is. Butterfly is furious and attacks him with the dagger, but Suzuki calms her and he scuttles off.
The gun of the port is heard, denoting the arrival of a ship. Looking through a telescope, Butterfly sees that it is Pinkerton's ship and makes joyful preparations to receive him. She and Suzuki decorate the house throughout with flowers, and, with the baby, prepare to wait through the night till he comes. 
Next morning at dawn, only Butterfly is still awake. Pinkerton has not come and she prepares to rest for a while. He arrives with Sharpless, but they warn Suzuki not to rouse Butterfly. Pinkerton is surprised that his arrival was expected and Sharpless reminds him that he had warned him three years ago that Butterfly was taking the ceremony seriously. Suzuki sees a strange woman in the garden. It is Pinkerton's wife, Kate. They tell Suzuki that she must find a way of breaking the news to Butterfly, adding that Kate is willing to take the baby back to America, as the best thing for him.
Pinkerton is overcome with remorse, but Sharpless tells him to leave, as it will be easier to break the news if he is not there. Butterfly runs eagerly out of the bedroom, expecting Pinkerton, but seeing only Kate. She forces the truth from the reluctant Suzuki. Broken-hearted, she realises that a further blow is in store, understanding that she is being asked to part with her child. For his good, she consents, but says that Pinkerton must come himself in half an hour to take him. Sharpless and Kate leave and Butterfly sends the reluctant Suzuki (who understands what she intends) to play with the child.
As Butterfly prepares to commit ritual suicide with her father's dagger, Suzuki pushes the child into the room, hoping to distract her, but she bids him a passionate farewell, blindfolds him and stabs herself, dying at Pinkerton's feet when he rushes in the door calling her name.
",Giacomo Puccini,Classical
Manon Lescaut,"A group of students, drinking outside the inn, mingles with the townspeople. The student des Grieux joins his friends. In answer to some chaffing by Edmondo, one of the students, he assures them that he has never known the pangs of love. To humor them he accosts a group of girls, asking if one of them will prove to be the one to ignite the spark in him.
A coach arrives, depositing Manon, her brother Lescaut and Geronte, an elderly rich tax-collector. Des Grieux is struck by Manon's beauty, and seizes the opportunity to address her when she is alone. In answer to his eager questions she tells him she is being sent to a convent by her father. She agrees to meet him later. Des Grieuz rhapsodises about her and his fellow students are amused to find him so suddenly in love.
A brief conversation between Lescaut and Geronte shows them beginning to understand each other. Lescaut has an eye to the main chance and Geronte is obviously interested in Manon and invites Lescaut to supper. But then he waits until Lescaut's attention is turned elsewhere (he joins some students in a game of cards) and makes an arrangement with the innkeeper to have a coach ready in an hour's time. He intends to abduct Manon, but he is overheard by Edmondo who warns des Grieux and they plan to outwit Geronte.
When Manon reappears she tells des Grieux that all her joy in life is gone; but she begins to respond to his declaration of love. However when he warns her of Geronte's intentions and urges her to fly with him instead, she is most reluctant. Finally she yields and they escape, urged on by Edmondo, just as Geronte appears.
Edmondo tells him what has happened and he then tells Lescaut who, after a burst of rage, becomes philosophical, consoling Geronte with his account of Manon's character: she will not long be happy with a poor student and since he can see Geronte has such a ""fatherly"" interest in her he feels that the future happiness of Geronte with Manon is assured, with himself added to the menage as ""son.""
Manon is putting the finishing touches to a stylish toilette when her brother appears. He congratulates her (and himself, as architect of the scenario) on her present position. He had tracked her down and lured her away by dazzling her with Geronte's wealth. But Manon tells him she misses des Grieux and would now prefer love and poverty to her present loveless wealth. Lescaut tells her he has been helping des Grieux to make his fortune by teaching him to cheat at cards.
Some singers serenade Manon with a madrigal written by Geronte. When she complains of boredom Lescaut descides to go and find des Grieux and tell him where to find her.
Manon is instructed in courtly dancing, to the rapturous admiration of an audience of Geronte and his friends. She dances with Geronte and sings him a pastoral ditty, describing a shepherdess pining for her shepherd. The company leaves for an outing and Manon waits for her sedan chair.
Des Grieux enters and reproaches her for her faithlessness, to which she offers a variety of answers: she is sorry, she did it all for him, she loves him passionately. He is won over by her spell and reaffirms his love. In the middle of their ecstatic reunion Geronte comes back. Manon answers his reproaches with a mirror, asking him to compare himself with her and des Grieux. He departs, promising to return. As the lovers prepare to depart Manon expresses regret at leaving her life of luxury, but when des Grieux upbraids her and accuses her of bringing him to a life of shame she promises to be good.
Lescaut rushes in out of breath to tell them that Geronte has been to the police and that Manon will be punished with deportation. Manon delays their departure by trying to collect as many jewels as possible, and when the arresting party, headed by Geronte, confronts the lovers, the jewels fall from her cloak. As she is taken away Lescaut restrains des Grieux as he draws his sword, warning him that he must stay free to save Manon.
A square near the harbor of Le Havre before dawn
Manon is in a cell waiting to be deported to America. Des Grieux and Lescaut have made a plan to save her and although nervous of the outcome Manon is persuaded to try to escape. But there is a commotion and Lescaut rushes in to warn des Grieux that the plan has failed.
Manon, with the other girls being deported, is led out of the building and a sergeant calls the roll while the townspeople comment freely on the proceedings and the individual girls. Lescaut tells them a tall story about Manon having been torn away from the arms of her lover, rousing their sympathy.
Des Grieux stands with her for as long as possible. She tells him to leave her, forget her and return to his father. When they come to drag Manon away he resists at first, but then turns to the captain of the waiting ship and begs to be allowed to go with her, as cabin boy if necessary. The captain accepts him jovially - ""so you want to populate America, do you?"" and des Grieux joins the ship as cabin boy. 
Des Grieux tries to support and encourage Manon who is weak from thirst and exhaustion. She begs him to try and find water and when he has gone laments her sad fate. He returns unsuccessful and she dies in his arms. He flings himself on her body.
",Giacomo Puccini,Classical
Tosca,"Angelotti, a political prisoner who has just escaped from the fortress of Castel Sant'Angelo, runs into the church, looks for a key and uses it to open a private chapel, where he hides. The Sacristan bustles about and the painter Mario Cavaradossi continues work on his picture of Mary Magdalene.
He has used as his model a fair-haired woman who has been frequenting the church. While admiring her fair beauty, he prefers the dark loveliness of his mistress, the celebrated singer Floria Tosca. When the Sacristan goes outside, Angelotti emerges from his hiding place and is recognised by Cavaradossi as a fellow revolutionary. Tosca is heard calling to Cavaradossi and he advises Angelotti to hide again, giving him a basket of food he has brought for his own meal. Tosca, having heard his voice, is suspicious that he has been entertaining a woman. He soothes her and they look forward to being together in his villa after her concert that night. She is about to leave when she sees the painting. Her jealousy is aroused again, particularly when she recognises the model as the Marchesa Attavanti. Cavaradossi assures Tosca that he does not know the lady, but has seen her in the church, and she leaves, warning him playfully henceforth to paint only dark-eyed women. Angelotti, emerging from the chapel, reveals that the Marchesa Attavanti is his sister, her presence in the church due to her part in his escape plan, as she has brought women's clothes for him and hidden them in the family chapel. Cavaradossi offers him refuge in his villa outside the city, but before he can leave, a cannon shot signals that the escape has been discovered, and Cavaradossi leaves with him.
The Sacristan, full of the news of the defeat of Napoleon, calls the choirboys to prepare to sing a celebratory Te Deum. Their riotous celebration is interrupted by the arrival of Scarpia, the chief of police, with some of his agents. A search verifies his suspicions that Angelotti had taken refuge in the church, one clue being a fan which Angelotti has dropped. Tosca, returning to tell her lover that she will be late that night because she has to sing in a victory cantata, is disconcerted to find him gone. Scarpia, who has had a lustful eye on her for some time and suspects Cavaradossi's part in the escape, plays on her jealousy in the hope that she will lead him to Angelotti. He shows her the fan, claiming that he found it near the painter's easel - a sign of an interrupted assignation.
Recognising the Attavanti crest, she is only too easily persuaded that Cavaradossi has been unfaithful and sets off for the villa to confront the supposed lovers. Sending his agents after her, Scarpia congratulates himself on the success of his plans, then joins in the Te Deum.
That night Scarpia eats his supper as he waits for his agents to bring in Angelotti. He sends a note inviting Tosca to visit him after the victory cantata. He is furious when his agent Spoletta confesses that they had found no trace of Angelotti, but mollified when he learns that they have arrested Cavaradossi because of his suspicious behavior. Cavaradossi defies Scarpia and denies knowing anything about Angelotti, so Scarpia orders his interrogation - using any means necessary. He is unsuccessful in his attempt to trick Tosca into revealing Angelotti's whereabouts, but she is unable to resist Cavaradossi's cries of pain as he is tortured, and gives the information.
Cavaradossi reproaches her bitterly. When news is brought that Napoleon had after all been victorious at Marengo, he exultantly taunts Scarpia, who orders his immediate execution. At first Scarpia turns a deaf ear to Tosca's pleas for mercy, but then reveals that the price for Cavaradossi's life is Tosca herself. In despair, she sees no way out, despite her revulsion, which only makes her more desirable in Scarpia's eyes.
In her presence he gives the orders for a fake execution, expressing himself in such a way that it is clear to Spoletta, but not to Tosca, that the execution is in fact to be real. She demands a safe-conduct for herself and Cavaradossi, so that they can leave Rome for ever. As he writes it, she notices a knife on the table, and as Scarpia prepares to embrace her, she stabs him. 
A shepherd sings in the distance and church bells ring as preparations are made for the execution. Cavaradossi tries to write a last letter to Tosca, but is overcome by memories of their happiness.
Tosca runs in with the safe-conduct and tells him that she has killed Scarpia. Telling him about the mock execution, she instructs him how to fall and wait till the soldiers have gone, but when she calls him, Cavaradossi does not move and she discovers that he is dead. Angry cries indicate that Scarpia's death has been discovered and Spoletta leads the soldiers in pursuit of Tosca, but she leaps from the battlements.
",Giacomo Puccini,Classical
Turandot,"A mandarin reads a proclamation that the Princess Turandot will marry any man of royal rank who successfully answers three riddles propounded by her, but if he fails he must lose his head. The Prince of Persia, having just failed, will be beheaded at moonrise. The crowd is eager for the execution and nearly tramples underfoot the old blind Timur, deposed Tartar king, who is led by the slave girl Li, who cries to the crowd to take pity on him. Calaf, son of Timur, who had been separated from him in exile, recognises his father. Their joy at finding one another still alive is overshadowed by the continued persecution of the king who had defeated them, who is still pursuing Calaf. Li explains that she has guided Timur since his kingdom was lost, because once Calaf had smiled at her.
Although the people have been longing for the moon to rise and the execution to take place, when they see the young prince led to his death, their mood changes and they call for mercy. But Turandot appears on a balcony and signs for the execution to proceed. Calaf is struck by her beauty and, ignoring the warning of his father and Li, the arguments of the three courtiers Ping, Pang and Pong, and not even swayed by the dying cry of the Prince of Persia, strikes the gong as a signal of his challenge for the hand of the princess. 
Ping, Pang and Pong remember wistfully the peaceful retreats they have left to become courtiers under the cruel regime of Turandot. They express the hope that she will eventually yield to love and bring to an end the parade of executions, but they are brought back to the immediate prospect of another potential victim as the crowd gathers.
The people hail the appearance of the emperor, who, weary of so much bloodshed, tries to dissuade Calaf from attempting the contest. But Calaf respectfully insists.
Turandot appears and, having explained that her aversion to men is based on the fate of a princess of her race who was violated and murdered by an invader, asks the riddles. Calaf successfully answers: Hope, Blood and Turandot. Turandot begs her father not to force her to marry the stranger, but he answers that he is bound by an oath. She tells Calaf that she will never be his, and he, touched by her distress, agrees to set her one riddle in his turn: if by dawn she can learn his name, he will die; if not, she must marry him. She consents, and the emperor hopes that at dawn Calaf will be his son-in-law. 
Heralds proclaim that no one in the city shall sleep till the mystery of the unknown prince is solved. Calaf repeats their words, confident that by dawn he will have conquered and Turandot will be his. He is approached by Ping, Pang and Pong, offering beautiful girls, riches and glory if he will go away and leave them in peace. The people are angry with him because they are suffering on his account. Guards drag in Timur and Li, who have been seen with Calaf and are assumed to know his name. To save Timur, Li declares that she alone knows the secret and will not reveal it.
Turandot appears as the guards begin to torture Li and is unable to understand what gives her the strength to endure. Li answers that it is the power of love, which Turandot will soon feel herself. Seizing a knife from a guard, Li kills herself. Timur and the people, fearing that her offended spirit will seek revenge, pray to her ghost not to harm them, and even Ping, Pang and Pong feel something stirring in their long atrophied hearts.
The body of Li is carried out and Calaf and Turandot are left alone. He removes her veil and kisses her. With the first tears she has ever shed she confesses that she has feared and loved him since first seeing him. In response to her admission of defeat, he tells her his name.
Turandot triumphantly announces to the emperor and assembled people that she knows the stranger's name: it is Love. Calaf and Turandot embrace and the emperor and people rejoice.
",Giacomo Puccini,Classical
Acis et Galatée,"The shepherd Acis loves the sea nymph Galatea (Galatée), while his companion Telemus (Téléme) loves the shepherdess Scylla. Both bemoan the fact that their love is unrequited. A group of shepherds sing of the joys of love, but flee at the arrival of the cyclops Polyphemus (Polypheme). The cyclops also loves Galatea: she plays along with him in order to protect the shepherds. 
Acis berates Galatea for agreeing to attend the festivities that Polyphemus is arranging in her honour. When he threatens to confront the cyclops, she explains that she is merely trying to appease Polyphemus and that she really loves Acis. The couple plan to marry at the temple of Juno. When Polyphemus asks Galatea to be his bride, she tells him that she must first seek permission from her father Nereus. 
Polyphemus is enraged to discover that Acis and Galatea are to be married. He murders Acis by crushing him with a huge rock. When Galatea discovers his body, she wishes to avenge his death and turns to the Gods for help. Neptune (Polyphemus's father) emerges from the sea and restores Acis to life by transforming him into a river, thus uniting the couple for ever.",Jean-Baptiste Lully,Baroque
Armide,"In a square in Damascus the sorceress Armida (Armide) receives praise for having beguiled and captured a band of crusaders. However, she has been eluded by Rinaldo (Renaud), the most formidable of the crusaders, who is resistant to her charms. Her uncle, Hidraoth, king of Damascus, begs that she turn from war to love, but she swears that she will only marry the conqueror of Rinaldo. News arrives that Rinaldo has freed the captured crusaders. 
In nearby countryside Rinaldo is enchanted by demons sent by Armida and Hidraoth, and he sings of the beauty of his surroundings. Armida is determined to kill Rinaldo, but on seeing him she is filled with love. Demons transport them both to a desert. 
Armida recognizes that Rinaldo's love for her is reliant upon magic. She summons Hatred to help expunge her love, but then relents. 
Two knights are sent to find Rinaldo. They are armed with magic weapons which enable them to overcome monsters and resist the spirits sent to seduce them. 
In Armida's enchanted palace, Rinaldo and Armida sing of their love. She leaves him, surrounded by pleasures, but the two knights arrive and release him from her charms. Armida returns and fruitlessly implores Rinaldo to stay. Left alone, Armida rages with mounting desperation before summoning demons to destroy her palace.
",Jean-Baptiste Lully,Baroque
Atys,"In the land of Phrygia, Attis awaits the arrival of the earth goddess Cybele (Cybèle). Sangaride, due to be married to King Celaenus (Célenus), sings of her unrequited love for Attis. Seeing her distress, Attis confesses that he too loves her. Cybele descends in her chariot. 
Attis and Celaenus cannot decide which of them will be the high priest for Cybele. Cybele also loves Attis and selects him to be high priest, confessing that it was for him and not Celaenus's marriage that she descended to earth. 
At the instigation of Cybele, Attis falls into a dreamfilled sleep in which he hears songs of love, but also warnings of danger should he deceive the gods. He wakes to find Cybele at his side, ready to comfort him. Sangaride begs Attis to prevent her marriag to Celaenus, and he promises to support her. Cybele, suspecting their love, laments her fate. 
Sangaride thinks that Attis no longer loves her, but he reassures her and they celebrate their love. As the high priest of Cybele, Attis calls off the wedding of Sangaride and Celaenus. 
Cybele and Celaenus plot revenge against the lovers. The goddess places Attis under a spell and, in his delusion, he murders Sangaride, thinking her to be a monster. After regaining his reason, Attis tries to take his own life, and Cybele turns him into a pine tree. She laments the loss of her one true love, and the opera ends in desolation.
",Jean-Baptiste Lully,Baroque
Così fan tutte,"Ferrando and Guglielmo are convinced of the fidelity of Fiordiligi and Dorabella, the two sisters to whom they are betrothed.
Don Alfonso, on the other hand, claims all women are fickle and wagers that he can prove it. 
The young men agree to take Alfonso's test, and he tells the sisters that their husbands-to-be have been enlisted into the army.
Once the men have departed, the sisters' maid Despina is persuaded by Alfonso to introduce two young Albanian friends (Ferrando and Guglielmo in disguise) to Fiordiligi and Dorabella.
Each ""stranger"" then begins to court the other's fiancée, and they begin to make progress after pretending to take poison. Despina disguises herself as a doctor and successfully cures the Albanians.
When Ferrando learns that Dorabella has yielded to Guglielmo, he becomes yet more determined to win Fiordiligi's heart. 
Eventually, she too succumbs and a double wedding is planned - with Despina, again in disguise, as the notary.
Just as the army is heard returning, the Albanian newlyweds disappear and Ferrando and Guglielmo appear in their place. Producing the marriage contract, they remonstrate with the sisters, who soon confess their deceit.
After paying Alfonso his wager, Ferrando and Guglielmo forgive Fiordiligi and Dorabella.",Wolfgang Amadeus Mozart,Classical
Die Zauberflöte,"Prince Tamino is rescued from a monster by the Three Ladies of the Queen of the Night, but the birdcatcher Papageno takes the credit. As a punishment for lying, the Ladies padlock his mouth.
They then give Tamino a painting of the Queen's abducted daughter Pamina. Falling in love with her image, he sets out to rescue her. The Queen promises that if he succeeds, she 
will agree to their marriage.
Tamino is given a magic flute, Papageno some magic bells, and together they journey 
to Sarastro's palace, where Pamina is being held. 
Papageno's blundering arrival inadvertently saves Pamina from being attacked by Monostatos, a moor in the service of Sarastro. 
Papageno and Pamina leave in search of Tamino, who has arrived at a temple whose priest informs him that it is the Queen and not Sarastro who is evil.
Papageno and Pamina are confronted by Monostatos and his slaves, but, using the bells, they manage to escape. 
Pamina and Tamino finally meet, and immediately fall in love. 
Tamino and Papageno are told they have to undergo a series of trials if they are to be accepted into the brotherhood of the temple. The first being a period of silence.
While Pamina is asleep, Monostatos again approaches, but is warded off by the 
Queen, who gives her daughter a dagger and tells her that she can only regain her power if Sarastro is killed.
Monostatos is once more forcing himself on Pamina when Sarastro enters. He knows of the 
Queen's plans but reminds Monostatos that the brotherhood is bound by love.
Papageno is given a fleeting glimpse of his ideal mate, Papagena, but is warned that he will be denied her if he fails in his trials. 
Pamina is taken to Tamino, and together they undergo trials by fire and water. Aided by the
magic flute, they pass through safely.
Papageno is united with Papagena, despite his failure to maintain silence. 
The Queen, the Three Ladies and Monostatos are engulfed by a clap of thunder and the
remainder of the cast celebrate the victory of light over darkness.",Wolfgang Amadeus Mozart,Classical
Don Giovanni,"Leporello waits outside a house where his master, Don Giovanni, is forcing himself upon Donna Anna. She cries for help and her father, the Commendatore, runs to her assistance.
In the ensuing fight Don Giovanni kills the Commendatore. Donna Anna and her betrothed, Don Ottavio, vow revenge.
Donna Elvira, recently jilted by Don Giovanni, arrives in search of the Don; he makes good his escape by leaving Leporello to read out his ""book of conquests"", in which the names of the Don's 2065 lovers are recorded.
Don Giovanni comes across a peasant wedding and promptly begins to charm the bride, Zerlina, but Elvira arrives and alerts her to the Don's intentions.
Donna Anna and Don Ottavio then arrive, and as the Don takes his leave of them, Anna identifies him as the man who had tried to rape her.
At a party hold by Don Giovanni, Zerlina reassures her lover Masetto of her affections, but she begins to weaken in the Don's presence.
Wearing masks, Anna, Elvira and Ottavio arrive at the ball, which is interrupted by Zerlina's scream. She stumbles onto the stage, the Don attempts to blame Leporello for the attack, and Anna, Elvira and Ottavio unmask themselves to publicly denounce the Don. 
Don Giovanni exchanges his costume with Leporello and serenades Elvira's maid as soon as Elvira has left with Leporello, believing him to be the remorseful Don.
Masetto arrives with a gang of men who are intent on punishing the Don. The Don, pretending to be Leporello, tells Masetto how to find the murderer, then beats Masetto half to death.
The Don and his servant meet in a graveyard, where the statue of the Commendatore addresses them; Don flippantly invites him to supper.
The statue duly arrives and demands the Don's repentance. Unbending, Don Giovanni is finally dragged screaming into hell.
Elvira, Ottavio, Anna and Leporello address the audience with the moral: ""Evildoers always come to an evil end.""",Wolfgang Amadeus Mozart,Classical
La clemenza di Tito,"The emperor Titus (Tito), who was to have married Vitellia, has fallen in love with the Jewish princess Berenice. Vitellia persuades Sextus (Sesto), who loves her, to join a plot to assassinate the emperor.
Titus announces that he has decided to banish Berenice and instead marry Servilia, Sextus's 
sister. When Servilia tells Titus that she loves Annius (Annio), he renounces her in favour of Vitellia, but Vitellla is unaware of this change of plan, and Sextus is dispatched to set fire to the Capitol and murder Titus.
Sextus reports that he has stabbed Titus, and the Roman people sing a lament for their dead emperor. 
Annius tells Sextus that the murdered man was not Titus, and manages to stop his friend from fleeing, telling him that others have been implicated.
Publius (Publio) arrests Sextus, who refuses to reveal Vitellla's complicity.
Titus, wishing to be remembered for his clemency, tears up the death sentence, but only after 
Sextus has been taken away to the arena.
As the lions are brought in, Vitellia decides to confess, but Titus is again forgiving and announces his intention to devote himself to the good of Rome.",Wolfgang Amadeus Mozart,Classical
